id,name,size,effective_logic_blocks,hierarchy,reuse,interface,dataflow,unit_test,naming,directory,build_independence,model_version,version_independence,release_branches,device_specificity,parameter_management,total,max_score,head
ML-01,torque-request-controller,small,17,3,2,3,3,3,5,5,3,3,3,10,10,5,58,61,010ef955a27cdf36789585e025d2e3a29f781070
ML-02,coolant-fan-controller,small,46,1,1,2,2,5,3,5,3,1,1,8,8,0,40,61,36f7037ac3be698df9a6ad9b5cb2095afb8babf8
ML-03,charge-interlock-controller,small,40,0,1,2,1,3,0,1,3,0,0,3,0,0,14,61,60a0da05e866d4a0091f936ebff29c43d78b247a
ML-04,battery-power-manager,medium,272,2,1,3,2,5,5,5,3,3,3,10,10,5,57,61,3b5330155a62517135b578809002eade5638ba4f
ML-05,axle-traction-coordinator,medium,277,1,1,2,1,5,3,5,3,1,1,8,8,0,39,61,f84d2769d09a703bef6eabaac4b47f1e3932c5db
ML-06,cabin-thermal-coordinator,medium,474,0,1,2,1,5,0,1,3,1,0,3,0,0,17,61,62f03d0fd3d75d91b8107fb521f3cc734e75bf1c
ML-07,energy-domain-supervisor,large,1082,2,1,3,2,5,5,5,3,3,3,10,10,5,57,61,30090f8ec3b797990a77cee35be0f3c713cea189
ML-08,thermal-network-controller,large,906,1,1,2,1,5,3,5,3,1,1,8,8,1,40,61,6efeb9476dded6e53b7fbc287673752ad71c31c3
ML-09,vehicle-actuator-supervisor,large,933,0,1,2,1,5,0,1,3,0,0,3,0,0,16,61,97e8582c9bda384528dd9215811e6fc00740892c
